inv1.solectria_meter.Real_AC_Power_Output,ShirleySouth-PVPlant-Inverter1,OpStatus,Pwr_kW,,kW
inv1.ramp_limit.Real_Power_Ramp_Rate,ShirleySouth-PVPlant,OpStatus,RampLimit,,kW/sec
inv1.ramp_limit.Reactive_Power_Ramp_Rate,ShirleySouth-PVPlant,OpStatus,QRampLimit,,kVAr/sec
inv1.smartGrid_ctrl.Opmode_Status_MSW,ShirleySouth-PVPlant,ModeStatus,ramp_ctrl_status,,
inv1.smartGrid_ctrl.Opmode_Status_LSW,ShirleySouth-PVPlant,ModeStatus,pwr_ctrl_status,,
recloser.status.Status,ShirleySouth,HealthStatus,RecloserStatus,,
recloser.status.Evt,ShirleySouth,HealthStatus,RecloserEvent,,
ess.tesla_cfg.Config_NumbBlocks,ShirleySouth-ESSPlant-ESS1,Config,nBlocks,,
ess.tesla_meter.Power_3Ph,ShirleySouth-ESSPlant-ESS1,OpStatus,Pwr_internal,,kW
ess.tesla_meter.Var_3Ph,ShirleySouth-ESSPlant-ESS1,OpStatus,VAr_internal,0,kVAr
ess.tesla_meter.Apparent_3Ph,ShirleySouth-ESSPlant-ESS1,OpStatus,ApparentPwr_internal,0,kVA
ess.tesla_meter.ACVoltage,ShirleySouth-ESSPlant-ESS1,OpStatus,ACVoltage_internal,0,V
ess.tesla_meter.ACCurrent,ShirleySouth-ESSPlant-ESS1,OpStatus,ACCurrent_internal,0,A
ess.tesla_meter.ACFrequency,ShirleySouth-ESSPlant-ESS1,OpStatus,freq_internal,0,Hz
ess.tesla_meter.RealEnergyExported,ShirleySouth-ESSPlant-ESS1,OpStatus,kWhExp,0,kWh
ess.tesla_meter.RealEnergyImported,ShirleySouth-ESSPlant-ESS1,OpStatus,kWhImp,0,kWh
ess.tesla_meter.ReactiveEnergyExported,ShirleySouth-ESSPlant-ESS1,OpStatus,VArExp,0,kVAh
ess.tesla_meter.ReactiveEnergyImported,ShirleySouth-ESSPlant-ESS1,OpStatus,VArImp,0,kVAh
ess.tesla_cfg.Config_NumBattMeters,ShirleySouth-ESSPlant-ESS1,Config,nBatteryMeters,,
ess.tesla_cfg.Config_MaxChargePower,ShirleySouth-ESSPlant-ESS1,Config,MaxChargePwr_kW,,kW
ess.tesla_cfg.Config_MaxDischargePower,ShirleySouth-ESSPlant-ESS1,Config,MaxDischargePwr_kW,,kW
ess.tesla_cfg.Config_MaxApparentPower,ShirleySouth-ESSPlant-ESS1,Config,MaxApparentPwr_kW,,kW
ess.tesla_cfg.Config_Energy,ShirleySouth-ESSPlant-ESS1,Config,FullChargeEnergy_kWh,,kWh
ess.tesla_status.Status_CommandSource,ShirleySouth-ESSPlant-ESS1,ModeStatus,CommandSource,,
ess.tesla_status.Status_BatteryTargetP,ShirleySouth-ESSPlant-ESS1,OpStatus,SetPt,,kW
ess.tesla_status.Status_BatteryTargetQ,ShirleySouth-ESSPlant-ESS1,OpStatus,QSetPt,,kVar
ess.tesla_status.Status_FullChargeEnergy,ShirleySouth-ESSPlant-ESS1,OpStatus,FullChargeEnergy_kWh,,kWh
ess.tesla_status.Status_NominalEnergy,ShirleySouth-ESSPlant-ESS1,OpStatus,NominalEnergy_kWh,,kWh
ess.tesla_status.Status_ExpectedEnergy,ShirleySouth-ESSPlant-ESS1,OpStatus,Energy_kWh,,kWh
ess.tesla_status.Status_MaxChargePower,ShirleySouth-ESSPlant-ESS1,OpStatus,MaxChargePwr_kW,,kW
ess.tesla_status.Status_MaxDischargePower,ShirleySouth-ESSPlant-ESS1,OpStatus,MaxDischargePwr_kW,,kW
ess.tesla_status.Status_MaxApparentPower,ShirleySouth-ESSPlant-ESS1,OpStatus,MaxApparentPwr_kW,,kW
ess.tesla_alarms.Alarm_LossBattMeter,ShirleySouth-ESSPlant-ESS1,HealthStatus,Alarm_Meter,,
ess.tesla_alarms.Alarm_MainOpen,ShirleySouth-ESSPlant-ESS1,HealthStatus,Alarm_MainBreaker,,
ess.tesla_alarms.Alarm_NumBlockCommFail,ShirleySouth-ESSPlant-ESS1,HealthStatus,Alarm_NumCommBlockFail,,
ess.tesla_alarms.Alarm_NumBlockOpFail,ShirleySouth-ESSPlant-ESS1,HealthStatus,Alarm_NumOpBlockFail,,
